title,author,url,description,host_platform,language,image,dateAdded,id,status,link,timeAdded,contentHash,itunesId,source,dead,is_corporate
Counterproductive,Dina Pugh,https://feeds.acast.com/public/shows/6a4d181a195f863605bb3346,"<p><em>Counterproductive </em>is a podcast about how people live—authors, nomads, scientists, visual artists, and others whose ways of being bend against the ordinary. Each conversation lingers less on résumé and more on rhythm: how a life is made, how meaning is stitched together, how imagination might serve as a compass in chaotic times.</p><br><p>Hosted by Nato Thompson with producer Marisa Mazria Katz, the series drifts between art, politics, and the everyday, searching out voices who remind us there are countless ways of living a life.</p><hr><p style='color:grey; font-size:0.75em;'> Hosted on Acast. See <a style='color:grey;' target='_blank' rel='noopener noreferrer' href='https://acast.com/privacy'>acast.com/privacy</a> for more information.</p>",Acast,en,https://assets.pippa.io/shows/cover/1783437267182-09f6a80c-921f-40a2-a149-866f47f319c5.jpeg,2026-07-07 16:39:12,7945159,confirmed,https://feeds.acast.com/public/shows/counterproductive,1783442352,07e3ff72d22fc2c2dfac9029db238884,,0,0,INDIVIDUAL
Backstretch Babes,Tiffany & Emilee,https://rss.buzzsprout.com/2628692.rss,"<p>Backstretch Babes is your new favorite NASCAR podcast, where best friends Tiffany and Emilee break down everything happening in the NASCAR Cup Series—from race recaps and playoff drama to breaking news, hot takes, and plenty of laughs. Whether you're a lifelong fan or just getting into the sport, we're proving that racing isn't just for the boys. </p>",Buzzsprout,en-us,https://storage.buzzsprout.com/myj6ap15jlgg679g2xeqv3o42xcl?.jpg,2026-07-07 16:38:13,7945156,confirmed,,1783442293,75b473ac7c0be6699576d2dbe5076e52,,4,0,CORPORATE
Access to Democracy,Eagan Television,https://rss.buzzsprout.com/2628850.rss,"<p>Since 1999, Access to Democracy has been a staple of Minnesota television. The program has featured more than 2,000 half-hour interviews with politicians, legislators, judges, academics, athletes, public figures, and everyday residents. Guests often share their expertise and debate with the host.</p>",Buzzsprout,en-us,https://storage.buzzsprout.com/nnfyv9j3thbehi5qmjczeyr5iay3?.jpg,2026-07-07 16:37:00,7945153,confirmed,https://www.buzzsprout.com/2628850,1783442220,2fa313d5c74ac6402e1632871150f098,,4,0,INDIVIDUAL
Pastor Kat,Kat Cochrane,https://anchor.fm/s/1148985cc/podcast/rss,Sermons preached by Pastor Kat Cochrane of the Global Methodist Church,Anchor,en,https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46295243/46295243-1783175710511-36d33b469aed.jpg,2026-07-07 16:36:41,7945152,confirmed,https://podcasters.spotify.com/pod/show/pastor-kat-tx,1783442201,134a52a3a7e4594c6252c6c3cf4aea6d,6788043572.0,2,0,INDIVIDUAL
Auto Repair Nampa | Expert Car Repair,Michael,https://www.spreaker.com/show/7159610/episodes/feed,"Whether you're dealing with warning lights, brake issues, engine problems, or routine maintenance, keeping your vehicle in top condition starts with expert care. This podcast shares practical automotive advice, preventative maintenance tips, and repair insights from experienced technicians. If you're searching for dependable <a href=""https://trufixnampa.com/"" target=""_blank"" rel=""noreferrer noopener"">Auto Repair Nampa</a>, discover how TruFix Auto Repair helps drivers keep their cars, SUVs, and diesel trucks running safely with quality workmanship backed by a 3-year warranty.<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/t_rss_itunes_square_1400/images.spreaker.com/original/83b7f6785517565a5c954c040b2a1a2c.jpg,2026-07-07 16:34:35,7945150,confirmed,https://www.spreaker.com/podcast/auto-repair-nampa-expert-car-repair--7159610,1783442075,a407e1a281d9f7e4378bb2f3220d330f,,4,0,INDIVIDUAL
Mile Marker Conversations,Matthew Martinez,https://anchor.fm/s/1148a126c/podcast/rss,"Welcome to Mile Marker Conversations, inspired by my book Mile Marker 25. Every road tells a story, every Traveler has a lesson, and every mile gives us another opportunity to grow. Through honest conversations, personal reflections, and real-life stories, we’ll explore life’s detours, victories, and lessons together. No matter where today’s road finds you, you’re welcome here. I’ll meet you at the next mile marker.",Anchor,en-us,https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46295603/46295603-1783182721404-0a073b8c983cd.jpg,2026-07-07 16:17:16,7945143,confirmed,https://podcasters.spotify.com/pod/show/matthew-martinez,1783441036,a73356d9ac91b81ff0e4e79a1c0a50fe,6787463829.0,2,0,INDIVIDUAL
GrowthHex Podcast,GrowthHex Digital,https://anchor.fm/s/114687c60/podcast/rss,"The GrowthHex Podcast explores AI, digital marketing, SEO, business growth, automation, and technology through practical tips, case studies, and expert insights. Created by GrowthHex and hosted by founder Saurav Kumawat, this podcast helps businesses and professionals stay ahead in the AI-first era.",Anchor,en,https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46273592/46273592-1782857265731-331366a936694.jpg,2026-07-07 16:14:31,7945141,confirmed,https://podcasters.spotify.com/pod/show/saurav-badiwaal6,1783440871,a0a77e8d68229485e75f17abd4388c55,6787402172.0,2,0,CORPORATE
The Dublin Lesbian Line Podcast,Dublin Lesbian Line,https://feeds.acast.com/public/shows/6a498d1b5ef16cb8048c174a,"<p>In Season 2<strong>*</strong> of The Dublin Lesbian Line Podcast host Orla Vaughan highlights the incredible diversity within our community. From ornithology to fermentation, how queer are our land and skies? From activism to poetry, can you have one without the other? And from outing yourself in a book to connecting women and non-binary people in rural Ireland, discover how we empower each other.</p><p>We hope you enjoy this season of the Dublin Lesbian Line Podcast. If you would like to connect with DLL, please follow us on Instagram<a href=""https://www.instagram.com/dublinlesbianline/"" rel=""noopener noreferrer"" target=""_blank""> https://www.instagram.com/dublinlesbianline/</a> or Facebook:<a href=""https://www.facebook.com/p/Dublin-Lesbian-Line-100064358546983/"" rel=""noopener noreferrer"" target=""_blank""> https://www.facebook.com/p/Dublin-Lesbian-Line-100064358546983/</a> You can also email <a href=""mailto:dublesline@gmail.com"" rel=""noopener noreferrer"" target=""_blank"">dublesline@gmail.com</a></p><p>Contact the podcast by emailing dublinlesbianlinepod@gmail.com</p><p> </p><p>If you would like support, the phoneline is open on Tuesday nights from <strong>18:30-21:00</strong>. You can reach us at 01 8721055 or ask@theswitchboard.ie. Visit<a href=""https://www.theswitchboard.ie/"" rel=""noopener noreferrer"" target=""_blank""> https://www.theswitchboard.ie/</a> for more information. If you would like to donate to DLL you can do so through our<a href=""https://www.idonate.ie/cause/dll?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnBpFSCV5SSMDlgmFi-ZvpIXycxdX0cIBHMuaysslurjDbs_FK3VOKTutb8Tc_aem_IRXPcLoLJMnbx6fk0l8ECg"" rel=""noopener noreferrer"" target=""_blank""> iDonate page here.</a> </p><br><p><a href=""https://www.idonate.ie/cause/dll?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnBpFSCV5SSMDlgmFi-ZvpIXycxdX0cIBHMuaysslurjDbs_FK3VOKTutb8Tc_aem_IRXPcLoLJMnbx6fk0l8ECg"" rel=""noopener noreferrer"" target=""_blank"">https://www.idonate.ie/cause/dll?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnBpFSCV5SSMDlgmFi-ZvpIXycxdX0cIBHMuaysslurjDbs_FK3VOKTutb8Tc_aem_IRXPcLoLJMnbx6fk0l8ECg</a></p><br><p><strong>Credits:</strong></p><p>Host: Orla Vaughan</p><p>Editors: Caitríona Murphy and Orla April Koivisto</p><p>Production Coordinator: Linda McGrath</p><p>Production Support: Dani Lovera Teixeira, Megan Atkinson and Kai Allen</p><p><br></p><h5> *Season 1 of the podcast was released under the name WomenStar.</h5><p><br></p><p><br></p><hr><p style='color:grey; font-size:0.75em;'> Hosted on Acast. See <a style='color:grey;' target='_blank' rel='noopener noreferrer' href='https://acast.com/privacy'>acast.com/privacy</a> for more information.</p>",Acast,en,https://assets.pippa.io/shows/6a498d1b5ef16cb8048c174a/1783369035147-5d708bb1-bdd5-4822-8abd-8f320a624d9e.jpeg,2026-07-07 16:08:52,7945136,confirmed,https://shows.acast.com/the-dublin-lesbian-line-podcast,1783440532,02f5481c32867c57cd9d4bff8503e893,,0,0,INDIVIDUAL
Holding Creative Space,Nicole Fende,https://feeds.captivate.fm/holding-creative-space/,"Have you lost touch with your creativity somewhere along the way? Been told you're ""not the creative type""? Or maybe you just need a safe place to play, experiment, and reconnect with the creative person you've always been? Holding Creative Space is the podcast for you. Hosted by Nicole Fende and Monette Satterfield, each episode is a judgment-free zone where we explore creativity as a birthright, not a talent reserved for a lucky few. We talk about permission, the trap of perfectionism, the voices in your head that aren't helping, and how to find your way back to the joy of creating. Whether you haven't picked up a paintbrush, pen, or instrument in decades, or you're a working artist looking for companionship on the creative journey, this space is for you.  Let’s hold it together.",Captivate,en,https://artwork.captivate.fm/7142be63-31e7-4054-858f-7f666c978475/HoldingCreativeSpaceSquareLogo-1500.jpg,2026-07-07 16:01:29,7945131,confirmed,https://tesseraypublishing.com/holding-creative-space-podcast/,1783440089,8fd11ec7e9afaf4766a2076d348da5f9,,4,0,INDIVIDUAL
Aging Athletically with Alison Heilig,Alison Heilig,https://feeds.libsyn.com/622690/rss,"Women have long been told: At midlife, it's time to slow down. Be gentle. Watch from the sidelines.
But this advice is only accelerating women's decline.
What if instead of accepting decline, we built our strongest body in midlife that makes us faster, stronger, and more efficient than ever before?
Women in midlife are presented with a unique set of biological challenges, but that doesn't mean we need to accept defeat. It just means we need a better strategy.
Aging Athletically is for the woman who wants the world to stay open to her: whether that's running your 20th ultra or just loading your suitcase into the overhead bin without assistance.
I'm Alison Heilig: Running Coach, Corrective Exercise Specialist, Certified Nutrition Coach, Women's Fitness Specialist, Yoga Medicine® Registered Therapeutic Specialist, and author of The Durable Runner. 
And I believe your strongest years are ahead of you. Let's go.",Libsyn,en,https://static.libsyn.com/p/assets/c/3/8/1/c381756b675628e116c3140a3186d450/Alison_Aging_Athletically_Cover_Art-2-20260701-sokejrfs26.png,2026-07-07 15:55:34,7945128,confirmed,https://sites.libsyn.com/622690,1783439734,8375adbed5cb7eb31d48a749a6b76d4e,6786335666.0,2,0,INDIVIDUAL
