title,author,url,description,host_platform,language,image,dateAdded,id,status,link,timeAdded,contentHash,itunesId,source,dead,is_corporate
REAL DEAL with Tony Reali,iHeartPodcasts,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/47b95fa6-39a1-4161-b2a5-b4660114f1d6/74db50be-0fcc-4ffc-9229-b4660114f634/podcast.rss,"REAL DEAL with Tony Reali is a sports culture podcast built around one irresistible moment at a time. A play. A clip. A photo. A legend. The cultural touchstones of sports that never leave us. Every episode starts small and goes deep into the story behind the story, the feeling behind the moment, and the human truth that explains why it's still living rent-free in our heads years later.
 
Hosted by longtime ESPN personality Tony Reali, REAL DEAL blends storytelling, humor, nostalgia, emotional insight, and unpredictable energy with guests who complete the story. Athletes, broadcasters, superfans, comedians, journalists and the people nobody else would think to call.
 
This is neither a debate show nor a recap show. It’s an evergreen sports culture format built around the moments, stories, and emotional chaos that keep sports alive, always.",Megaphone,en-US,https://www.omnycontent.com/d/programs/e73c998e-6e60-432f-8610-ae210140c5b1/47b95fa6-39a1-4161-b2a5-b4660114f1d6/image.jpg?t=1783698664&size=Large,2026-07-14 12:17:46,7955803,confirmed,https://www.iheart.com/,1784031466,41dad9ece1a3613d3b4dafc91fd4bea8,6790415561.0,2,0,INDIVIDUAL
Around the Pod,Around the Pod,https://rss.buzzsprout.com/2630194.rss,"<p>Four hosts. Two Australian pros. Two passionate amateurs. One obsession: pickleball.</p><p><br></p><p>Join Australian pros Aaron Blitz and Josh Chia alongside passionate pickleballers Justin McLeod and Michael Murrell as they dive into everything happening in the world's fastest-growing sport. From tournaments, tactics and the latest news to stories from life on and off the court, every episode blends elite insight with the perspective of everyday players. Featuring guests from across the pickleball world, <em>Around the Pod</em> is the podcast for anyone who loves the game — whether you're just getting started or competing at the highest level.</p>",Buzzsprout,en-au,https://storage.buzzsprout.com/hqw4z8q02ery2oibx1j5wkj6k5o7?.jpg,2026-07-14 12:12:34,7955797,confirmed,,1784031154,370956d8346c6d68375daa4569982c8c,,0,0,INDIVIDUAL
The Bad Neighborhood Podcast,Bazzi,https://rss.buzzsprout.com/2630209.rss,"<p> The Bad Neighborhood Podcast is a scripted excavation of the human condition. We don't offer tips, tricks, or magic cures—we use carefully chosen words to hold up a mirror to the 'bad neighborhood' inside our own minds, refusing to hide from the truths we are too terrified to speak aloud. Here, we battle both our internal monsters and the real-world monsters who hide not behind a mask, but behind a human face. </p>",Buzzsprout,en-us,https://storage.buzzsprout.com/zesfugwn2pu6yst9eu19u69t7rlc?.jpg,2026-07-14 12:05:33,7955794,confirmed,,1784030733,f83b7ee6a90168155d32959c9c89a179,,4,0,INDIVIDUAL
The Mind Room Podcast With Dr Orgen,Dr. David Rex Orgen,https://feed.podbean.com/infomindroom/feed.xml,"Welcome to The Mind Room Podcast—a place where faith, mental wellness, personal growth, and meaningful conversations come together. Hosted by Dr. David Rex Orgen, each episode is designed to inspire hope, strengthen resilience, and provide practical guidance for navigating life’s challenges.
Whether you’re seeking encouragement, emotional healing, leadership insights, or practical tools for personal development, The Mind Room Podcast is here to support your journey toward a healthier mind and a purpose-filled life.
Stay Connected With Us:
🌐 Website: https://www.davidorgenauthor.com
📺 YouTube: https://youtube.com/@themindroompodcast?si=w6CAYZAelbAqfAiI
📸 Instagram: https://www.instagram.com/mindroom_podcast?igsh=YTE0anBnbGV2eHlv
🎵 TikTok: https://tiktok.com/@davidrexorgenministriesg?_r=1&_t=ZT-945ZM6cZf7l
💼 LinkedIn: https://www.linkedin.com/company/life-bridge-services-llc/
Thank you for listening and being part of our community. Don’t forget to follow, subscribe, and share The Mind Room Podcast with your family and friends. Together, let’s build healthier minds, stronger relationships, and purpose-filled lives—one conversation at a time.",Podbean,en,https://pbcdn1.podbean.com/imglogo/image-logo/22489687/WhatsApp_Image_2026-07-13_at_12057_AMb4vnt.jpeg,2026-07-14 12:03:10,7955792,confirmed,https://infomindroom.podbean.com,1784030590,1bfb301787fcce231f5a075569ca3f42,6790236635.0,2,0,INDIVIDUAL
Over Simulated,"Lady Drama, Not Malcolm",https://anchor.fm/s/114cbdf58/podcast/rss,"Join Not Malcolm and Lady Drama in a weekly conversation about the gaming industry, life simulation video games, and influencers",Anchor,en-us,https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46338726/46338726-1783918094304-81122d49e936.jpg,2026-07-14 12:02:22,7955791,confirmed,https://podcasters.spotify.com/pod/show/over-simulated-podcast7,1784030542,0396ae2b1acc107965000cc33aca4814,6790186893.0,2,0,INDIVIDUAL
My Migrant Soul,Imran Abul Kashem,https://rss.libsyn.com/shows/615225/destinations/5365580.xml,"My Migrant Soul – A Podcast by Imran Abul Kashem
Stories of Resilience, Struggles, and Success in a New Land
Every migrant has a story—of dreams, struggles, and triumphs. My Migrant Soul brings you powerful, real-life conversations with migrants from diverse backgrounds who have navigated the challenges of starting over in a new land. Hosted by Imran Abul Kashem, this podcast sheds light on personal migration journeys, cultural transitions, and the resilience that fuels success.
Through heartfelt interviews, we celebrate the courage, sacrifices, and victories of those who dared to chase a better future. Tune in for inspiring stories that remind us of the strength within every migrant soul.",Libsyn,en-au,https://static.libsyn.com/p/assets/0/a/9/0/0a907c1bd3e7799516c3140a3186d450/485984739_122093290766827197_1575132304946735924_n.jpg,2026-07-14 12:02:19,7955790,confirmed,https://sites.libsyn.com/615225,1784030539,5cdb0b196fb2c70a9b21167322efec5a,1893835057.0,2,0,INDIVIDUAL
Multicultural Newborn Photography,Basu Photogrpahy,https://www.spreaker.com/show/7178750/episodes/feed,"If you’re looking for a trusted Multicultural Newborn Photography Studio Winnipeg, <a href=""https://www.basuphotographyservices.ca/"" target=""_blank"" rel=""noreferrer noopener"">Basu Photography Services</a> provides professional, customized newborn photography that beautifully captures both your baby’s first days and your family’s unique traditions.<br /><br /><br /><br /><br />Visit: <a href=""https://www.basuphotographyservices.ca/newborn-session-pricing"" target=""_blank"" rel=""noreferrer noopener"">https://www.basuphotographyservices.ca/newborn-session-pricing</a><a href=""https://www.basuphotographyservices.ca/newborn-session-pricing"" target=""_blank"" rel=""noreferrer noopener""><br /></a>Basu Photography ServicesPhone: <a href=""https://html-online.com/html-editor/+1%20204-293-6704"" target=""_blank"" rel=""noreferrer noopener"">+1 204-293-6704</a>",Spreaker,en,https://d3wo5wojvuv7l.cloudfront.net/images.spreaker.com/nuvolari-assets/green_square_mic.jpg,2026-07-14 11:57:47,7955786,confirmed,https://www.spreaker.com/podcast/multicultural-newborn-photography--7178750,1784030267,0dd06343b6056f5e83d0ce870a2e4ee5,,4,0,INDIVIDUAL
Conversations On Eternity,Chinwe Onwuchekwa,https://rss.buzzsprout.com/2630007.rss,"<p> </p><p>In a world marked by uncertainty about life, death, and what lies beyond, <b>Conversations on Eternity – The Christian Perspective</b> provides a clear, biblical, and compelling exploration of one of humanity’s most profound questions: <b>What happens after this life?</b> </p><p><br></p><p>Through sound biblical teaching, engaging discussions, and practical spiritual insights, the podcast  seeks to illuminate God's truth, strengthen faith, and provide clear direction for those searching for meaning, hope, and eternal purpose.</p><p><br></p><p>Whether you are a committed believer, a seeker exploring matters of faith, or someone wrestling with life's ultimate questions, <b>Conversations on Eternity</b> offers a compelling invitation to consider what matters most - not only for this life, but for the life to come. </p>",Buzzsprout,en-gb,https://storage.buzzsprout.com/elffuh2z7hpouhdfx0enwb37pnta?.jpg,2026-07-14 11:56:39,7955785,confirmed,https://www.buzzsprout.com/2630007,1784030199,7ab7ceb0ac728ff389f78bb140e6c58e,,4,0,INDIVIDUAL
ok8386,ok8386money1,https://anchor.fm/s/114e8014c/podcast/rss,"<a href=""https://ok8386.money/"">ok8386</a> - Một điểm đáng chú ý khác là sự đa dạng trong nội dung mà nền tảng cung cấp. Người dùng có thể lựa chọn từ nhiều hình thức trải nghiệm khác nhau, phù hợp với nhu cầu cá nhân. Sự phong phú này giúp tránh cảm giác nhàm chán và tạo động lực khám phá lâu dài. Đồng thời, việc cập nhật thường xuyên cũng đảm bảo rằng người dùng luôn có điều mới mẻ để trải nghiệm.	WEB: <a href=""https://ok8386.money/"">https://ok8386.money/</a>",Anchor,en-zw,https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46357163/46357163-1784029758256-e6874e807ca4f.jpg,2026-07-14 11:55:17,7955782,confirmed,https://ok8386.money/,1784030117,1e5c109001ca08734f2699bb398c0945,,0,0,INDIVIDUAL
lx88,lx88skin1,https://anchor.fm/s/114e80084/podcast/rss,"<a href=""https://lx88.skin/"">Lx88</a> - Giao diện của nền tảng được thiết kế theo phong cách hiện đại, tối giản nhưng vẫn đầy đủ chức năng cần thiết. Màu sắc hài hòa, bố cục rõ ràng giúp người dùng dễ dàng định hướng và thao tác. Các tính năng được sắp xếp hợp lý, giúp tiết kiệm thời gian và tăng hiệu quả sử dụng. Đồng thời, việc liên tục cải tiến dựa trên phản hồi của người dùng cũng là yếu tố giúp nền tảng ngày càng hoàn thiện hơn.	WEB: <a href=""https://lx88.skin/"">https://lx88.skin/</a>",Anchor,en-gb,https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46357161/46357161-1784029697330-3ee9397f1f327.jpg,2026-07-14 11:51:59,7955779,confirmed,https://lx88.skin/,1784029919,7d215a49c9bfc7030d2d830c0061a9fc,,0,0,INDIVIDUAL
